id,name,followers,popularity,genres,spotify_url,pictureURL
3XsQ5adwV5IToYxi6cehWB,Divine Weeks,142.0,0.0,jangle pop,https://open.spotify.com/artist/3XsQ5adwV5IToYxi6cehWB,https://i.scdn.co/image/ab6761610000e5ebc476cbb58e319bf950687511
5LLh8xWzuMqjQgEHn9Ixtj,Chiara Iezzi,211.0,0.0,,https://open.spotify.com/artist/5LLh8xWzuMqjQgEHn9Ixtj,https://i.scdn.co/image/ab67616d0000b273b32916fda5c6ef8e3e8c2fe3
2Csnp7HEuWKg2IetaRoyz3,Earth Affair,66.0,0.0,lounge,https://open.spotify.com/artist/2Csnp7HEuWKg2IetaRoyz3,https://i.scdn.co/image/ab67616d0000b273203a0bf1d3b8cfaed0993b3a
5Lp4dWpZlJJj3dhrgoeZYk,Legacy Five,28188.0,33.0,"southern gospel, christian country, gospel",https://open.spotify.com/artist/5Lp4dWpZlJJj3dhrgoeZYk,https://i.scdn.co/image/ab6761610000e5eb0fbda7bc32e7e5527e8d8196
2YVF0Ou5zIc4mpgtLIlGN0,Robert Miles,249370.0,64.0,"trance, eurodance",https://open.spotify.com/artist/2YVF0Ou5zIc4mpgtLIlGN0,https://i.scdn.co/image/270333abeb769990ca788d54758ba7eff4488775
3LVtZP0UUtY35ptAnntYsT,The Friday Night Boys,42994.0,25.0,"pop punk, emo pop",https://open.spotify.com/artist/3LVtZP0UUtY35ptAnntYsT,https://i.scdn.co/image/72ba336a6825404af301a097e720a0e7b1e82682
38zTZcuN7nFvVJ6auhc6V3,Deerhunter,398773.0,45.0,"shoegaze, dream pop, noise rock, psychedelic pop",https://open.spotify.com/artist/38zTZcuN7nFvVJ6auhc6V3,https://i.scdn.co/image/ab6761610000e5eb9e2ec521b797dfccae2110d9
0QtxgMEY12DcJZjMcSSaHm,Jonteknik featuring Martyn Bailey,7230.0,32.0,,https://open.spotify.com/artist/0QtxgMEY12DcJZjMcSSaHm,https://i.scdn.co/image/ab6761610000e5eb754ce6e701df3f339ac7844c
2eLvsJVbwSqcjJM4TnM8kJ,ZuBCoRe,282.0,0.0,industrial,https://open.spotify.com/artist/2eLvsJVbwSqcjJM4TnM8kJ,https://i.scdn.co/image/ab67616d0000b273715b9187e6f6c95c7a29114c
0peBc7Cup3JpcXL3h2zjIO,Invisible Elephant,37.0,0.0,"post-rock, shoegaze",https://open.spotify.com/artist/0peBc7Cup3JpcXL3h2zjIO,https://i.scdn.co/image/ab67616d0000b27381e7779761fc9916708d207a
6v8MdMs2ByHLXUdWonWFPK,Envy,567770.0,58.0,"flamenco, flamenco pop, flamenco urbano",https://open.spotify.com/artist/6v8MdMs2ByHLXUdWonWFPK,https://i.scdn.co/image/ab6761610000e5ebc0a1f16e7a6d0a59e1050898
36gdsrHzKZ0Wyb3uH7ZbEv,Braid,47533.0,37.0,"midwest emo, emo, post-hardcore, emocore, math rock, screamo",https://open.spotify.com/artist/36gdsrHzKZ0Wyb3uH7ZbEv,https://i.scdn.co/image/ab6761610000e5eb87df786e44f8508680326f0c
4DeF1n7pWrs52PhWd2sEyr,Rasputina,60675.0,32.0,"dark cabaret, chamber pop",https://open.spotify.com/artist/4DeF1n7pWrs52PhWd2sEyr,https://i.scdn.co/image/ab6761610000e5ebb9f9b9ba1aa10f48548e0aba
0k7Xl1pqI3tu8sSEjo5oEg,Paul Wall,874851.0,65.0,"southern hip hop, crunk",https://open.spotify.com/artist/0k7Xl1pqI3tu8sSEjo5oEg,https://i.scdn.co/image/ab6761610000e5eb9c40e9eb9e4fa52a3c6cb9c0
1Yk912s46hRDu0aEvLG8WO,New Artist (91),3317.0,13.0,,https://open.spotify.com/artist/1Yk912s46hRDu0aEvLG8WO,https://i.scdn.co/image/ab67616d0000b27307617d85eb1247831991d703
5FN9kuAUamAd4IadVnH4jH,Samsa,157253.0,40.0,,https://open.spotify.com/artist/5FN9kuAUamAd4IadVnH4jH,https://i.scdn.co/image/ab67616d0000b2738c122bc2d74eaa74c3f5f759
2da7ehIX9lFyIDqmjqVZvS,Say Hi,42929.0,34.0,,https://open.spotify.com/artist/2da7ehIX9lFyIDqmjqVZvS,https://i.scdn.co/image/ab6761610000e5eb9210099a0e33054a2434558e
7xX39IyguhWsTIg4eU2reH,Seth Romatelli and Jonathan Larroquette,5941.0,48.0,,https://open.spotify.com/artist/7xX39IyguhWsTIg4eU2reH,https://i.scdn.co/image/ab6761610000e5eb098ada25bad2c88d4b590dc1
7w0e6inAfRWIEb9tWVgB7a,These New Puritans,34196.0,35.0,"post-rock, new rave, art rock",https://open.spotify.com/artist/7w0e6inAfRWIEb9tWVgB7a,https://i.scdn.co/image/ab6761610000e5ebcc0ff55f22cfc32f289011f7
6TUN9MVO1hUV5bqqquPHt5,Opus Däi,2819.0,6.0,"progressive metal, progressive rock, post-rock",https://open.spotify.com/artist/6TUN9MVO1hUV5bqqquPHt5,https://i.scdn.co/image/ab67616d0000b2736747f6cd27c9a102eb80ba87
1Jc3tdifIBimbzMWyR7iep,Wire Daisies,439.0,6.0,,https://open.spotify.com/artist/1Jc3tdifIBimbzMWyR7iep,https://i.scdn.co/image/ab67616d0000b273cde1b6afd54c25a4edde61fb
71LKcHW1wWN6dbYWvsbQRh,Acid Black Cherry,260033.0,51.0,"visual kei, j-rock, j-pop",https://open.spotify.com/artist/71LKcHW1wWN6dbYWvsbQRh,https://i.scdn.co/image/ab6761610000e5eb4aa9bf210b0cc39085aa3846
2H5elA2mJKrHmqkN9GSfkz,Gillian Welch,250605.0,53.0,"americana, bluegrass, alt country, folk",https://open.spotify.com/artist/2H5elA2mJKrHmqkN9GSfkz,https://i.scdn.co/image/ab6761610000e5eb2f405e0dd536cd6c98f7aeb3
56AdxuVm2cSmRQvDu0WzCl,Breathe In,213.0,6.0,,https://open.spotify.com/artist/56AdxuVm2cSmRQvDu0WzCl,https://i.scdn.co/image/ab6761610000e5eb0286f2a391261b0e0a308cf2
6Jsq0AbwEKcmDuyA4ca9wu,Kashmir,101630.0,39.0,,https://open.spotify.com/artist/6Jsq0AbwEKcmDuyA4ca9wu,https://i.scdn.co/image/32ce66bd9b465af1a84e47c725c641310003cb87
16vYauKyeJl5SV84bqHqQJ,Harmful,951.0,6.0,"noise rock, post-grunge",https://open.spotify.com/artist/16vYauKyeJl5SV84bqHqQJ,https://i.scdn.co/image/ab6761610000e5ebb23389abb6a1946766b17525
0gYmCKykZ9AZJhYHkWObNE,Punch Exciters,5.0,0.0,,https://open.spotify.com/artist/0gYmCKykZ9AZJhYHkWObNE,https://i.scdn.co/image/ab67616d0000b273397ccc53a94668d01a63b166
4CxhIGJZd5Z2TnsVMuyz27,Stillife,756.0,2.0,"darkwave, neofolk",https://open.spotify.com/artist/4CxhIGJZd5Z2TnsVMuyz27,https://i.scdn.co/image/ab67616d0000b273f05ac1399b3a5f380a21ccaf
42APSc9etBGptl3otzihIZ,Toni Storaro,138133.0,45.0,folk pop,https://open.spotify.com/artist/42APSc9etBGptl3otzihIZ,https://i.scdn.co/image/ab6761610000e5ebbaa7459688e579f539ad719c
6Vh8H80QdaXyQYGjEpzuCY,Switch Technique,5189.0,10.0,"industrial, drum and bass, gabber, breakcore, speedcore, hardcore",https://open.spotify.com/artist/6Vh8H80QdaXyQYGjEpzuCY,https://i.scdn.co/image/ab67616d0000b2733b4652225610d57c4695293a
7K9rdoOJSiKXoVXPlSkGKT,Paty Cantú,2491246.0,64.0,latin pop,https://open.spotify.com/artist/7K9rdoOJSiKXoVXPlSkGKT,https://i.scdn.co/image/ab6761610000e5eb4142597445e5b6946947fc79
4lcQ8hgPWSGcYGIxq5NUyS,Dear Bitch,1147.0,17.0,,https://open.spotify.com/artist/4lcQ8hgPWSGcYGIxq5NUyS,https://i.scdn.co/image/ab67616d0000b27347bf1c05db8af46ccdfb92db
1lIbZfJvMQRqzhtCQsg5EI,Cem Karaca,1919292.0,58.0,"anatolian rock, arabesk, turkish pop",https://open.spotify.com/artist/1lIbZfJvMQRqzhtCQsg5EI,https://i.scdn.co/image/ab6761610000e5eb59ee2d0db7a09d786a2901f3
4xYWwmYOOQLNfkvk4ll3Gg,Dreams of Sanity,4241.0,40.0,rap metal,https://open.spotify.com/artist/4xYWwmYOOQLNfkvk4ll3Gg,https://i.scdn.co/image/ab6761610000e5ebc19a265c0d247961be7736af
4Rj2COYs5hQsw8rYIxSviz,Hidden Orchestra,102084.0,42.0,"nu jazz, trip hop, downtempo",https://open.spotify.com/artist/4Rj2COYs5hQsw8rYIxSviz,https://i.scdn.co/image/ab6761610000e5eb18adc9b45f0c57bfae1d08cb
3Mn8t5WvKxtpW1vjxDjphD,Ikuko Kawai,4727.0,21.0,,https://open.spotify.com/artist/3Mn8t5WvKxtpW1vjxDjphD,https://i.scdn.co/image/ab67616d0000b27351ca59e96fa7e76f01213e01
7w9jdhcgHNdiPeNPUoFSlx,Dropkick Murphys,1301278.0,65.0,"celtic rock, celtic, punk, folk punk",https://open.spotify.com/artist/7w9jdhcgHNdiPeNPUoFSlx,https://i.scdn.co/image/ab6761610000e5eb2b3032f701dee12a10157f83
6zXHaJc2ZqAmSyxT606ccM,Swingin' Utters,57903.0,38.0,"skate punk, punk, ska punk, melodic hardcore",https://open.spotify.com/artist/6zXHaJc2ZqAmSyxT606ccM,https://i.scdn.co/image/a9d338fd0941e37f58f6055799d6cf01147fd576
0gVVmmvBVyekJKTpp2Ov91,Warrior Soul,15728.0,21.0,"glam metal, hard rock",https://open.spotify.com/artist/0gVVmmvBVyekJKTpp2Ov91,https://i.scdn.co/image/ab6761610000e5eb844ec3824cda10622bfa3caa
1x8mAhfvCw7JXRX7Ild0lF,The Cab ft. Hey Monday,26296.0,58.0,,https://open.spotify.com/artist/1x8mAhfvCw7JXRX7Ild0lF,https://i.scdn.co/image/ab6761610000e5ebf48f918c99f85b02cf43b6bc
1slMaHG56X8oSZdBzx7isZ,Wicked,4137.0,19.0,"mexican hip hop, latin hip hop",https://open.spotify.com/artist/1slMaHG56X8oSZdBzx7isZ,https://i.scdn.co/image/ab67616d0000b27306de18c0db4387187f0acefd
4yW3SIJL1WcCLV8rgVJUAj,Бригадный Подряд,17778.0,27.0,,https://open.spotify.com/artist/4yW3SIJL1WcCLV8rgVJUAj,https://i.scdn.co/image/ab6761610000e5eb7956faa1eb0b9bd15500465f
5yE5AG06GxRrh6Hw9qSJOQ,Cordovero,3090.0,35.0,"ambient, drone",https://open.spotify.com/artist/5yE5AG06GxRrh6Hw9qSJOQ,https://i.scdn.co/image/ab6761610000e5eba3ea16307053b3591cc2ea55
38euc5ce2q2MMzaoJcPstz,Josh Rouse,61709.0,41.0,,https://open.spotify.com/artist/38euc5ce2q2MMzaoJcPstz,https://i.scdn.co/image/ab6761610000e5eb031dc83225c9e0367c53fbe9
37DdwREpvvQHmGLFEZ4h0Q,Basshunter,524783.0,63.0,"eurodance, europop",https://open.spotify.com/artist/37DdwREpvvQHmGLFEZ4h0Q,https://i.scdn.co/image/ab6761610000e5ebc54bad2f1330a03cb8aa177d
0khzcQ6PQU5a6dl1Qss3pt,Lorrie Morgan,438006.0,46.0,country,https://open.spotify.com/artist/0khzcQ6PQU5a6dl1Qss3pt,https://i.scdn.co/image/463b91de449a01f34b462ddda33c1323f938f443
3WPKDlucMsXH6FC1XaclZC,Suicidal Tendencies,792535.0,55.0,"thrash metal, hardcore punk, punk, skate punk, speed metal",https://open.spotify.com/artist/3WPKDlucMsXH6FC1XaclZC,https://i.scdn.co/image/ab6761610000e5eb34e9707779175a2453a1d786
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens,170542.0,54.0,"christmas, rockabilly",https://open.spotify.com/artist/0wi4yTYlGtEnbGo4ltZTib,https://i.scdn.co/image/ab6761610000e5eb0cdda37cae32193ecc26fe02
6zUiRChNyL3HEezOd1Wjam,Buraka Som Sistema,90194.0,39.0,"kuduro, moombahton",https://open.spotify.com/artist/6zUiRChNyL3HEezOd1Wjam,https://i.scdn.co/image/ab6761610000e5eb6483f0329c36995011d7622e
2JfbhY0uEDLi1d89RzdU9S,L'ame Immotale,21467.0,42.0,,https://open.spotify.com/artist/2JfbhY0uEDLi1d89RzdU9S,https://i.scdn.co/image/ab6761610000e5eb8df4355fac2a6ad458d43f83
0rESpKEusFHxhW59MIf7eM,The Flying Burrito Brothers,156211.0,41.0,"country rock, alt country, americana, folk rock",https://open.spotify.com/artist/0rESpKEusFHxhW59MIf7eM,https://i.scdn.co/image/ab67616d0000b27353ba02e4c3b1b6a297002afa
4bdtYZMnOfEDmEdhSXGaPr,Hasan Tayyar,19161.0,45.0,sufi,https://open.spotify.com/artist/4bdtYZMnOfEDmEdhSXGaPr,https://i.scdn.co/image/ab6761610000e5eb5960b932180f8a6aab3ed233
7H9kxQfhfZ0kJ7IOD3CTAP,Iommi,970.0,47.0,hypertechno,https://open.spotify.com/artist/7H9kxQfhfZ0kJ7IOD3CTAP,https://i.scdn.co/image/ab6761610000e5eb3fb69c1fbcaa2cd9f09267b3
6vqGMNz6a5iolQ6BceGE8s,Dibiase,1372.0,1.0,,https://open.spotify.com/artist/6vqGMNz6a5iolQ6BceGE8s,
5uikbO93Jrxu7wOg1s5ekE,Beyond The Embrace,1151.0,4.0,"melodic death metal, death metal",https://open.spotify.com/artist/5uikbO93Jrxu7wOg1s5ekE,https://i.scdn.co/image/ab67616d0000b273b84e265eb69c2e108abc2c13
5MWBg16f5UYiaSlyVhzlIW,John Cale,211370.0,47.0,"art rock, baroque pop, proto-punk, singer-songwriter",https://open.spotify.com/artist/5MWBg16f5UYiaSlyVhzlIW,https://i.scdn.co/image/ab6761610000e5eb7f1f22856455f6f357468482
